,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,release_location_name,hatchery_location_name,release_location_rmis_basin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
380,NaN,1,3,2010,20110526,20110527,3F10511 100414 R,3F10511 100414 H,NaN,VO,78,NaN,NaN,NaN,NaN,5000,215196,0,1604,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,215196,1604,0
381,NaN,2,NaN,2019,20210401,20210401,3F10511 100414 R,3F10511 100414 H,Y,VO,127,NaN,NaN,NaN,NaN,0,152535,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,0,152535,0
382,NaN,3,4,2006,20061107,20061107,3F10511 100414 R,3F10511 100414 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5000,7300,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,7300,0,0
383,NaN,2,NaN,2016,20180401,20180406,3F10511 100414 R,3F10511 100414 H,Y,VO,123,NaN,NaN,NaN,NaN,5000,148811,0,989,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,148811,989,0
384,NaN,2,NaN,2016,20180401,20180406,3F10511 100414 R,3F10511 100414 H,Y,VO,123,NaN,NaN,NaN,NaN,5000,292159,0,1941,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,292159,1941,0
385,NaN,3,4,2004,20050401,20050415,3F10511 100414 R,3F10511 100414 H,S,NaN,194,NaN,NaN,NaN,NaN,5000,175585,0,2115,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,175585,2115,0
386,NaN,3,4,2003,20040401,20040403,3F10511 100414 R,3F10511 100414 H,S,NaN,200,NaN,NaN,NaN,NaN,5000,14706,0,228,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,14706,228,0
387,NaN,2,NaN,2007,20090414,20090414,3F10511 100414 R,3F10511 100027 H,G,FR,121,NaN,NaN,NaN,NaN,0,311400,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,PUYALLUP HATCHERY,PUYA,0,0,0,311400,0
388,NaN,3,4,2002,20030512,20030512,3F10513 130028 R,3F10511 100027 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5002,14000,NaN,NaN,NaN,NaN,DESCHUTES R 13.0028,PUYALLUP HATCHERY,DES,0,0,14000,0,0
389,NaN,3,4,2004,20050505,20050505,3F10513 130028 R,3F10511 100027 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5002,12050,0,200,NaN,NaN,DESCHUTES R 13.0028,PUYALLUP HATCHERY,DES,0,0,12050,200,0
390,NaN,2,NaN,2007,20090109,20090116,3F10511 100414 R,3F10511 100414 H,G,MX,NaN,NaN,NaN,NaN,NaN,5000,410190,0,2310,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,410190,2310,0
391,NaN,3,4,2005,20060429,20060429,3F10511 100414 R,3F10511 100414 H,S,NaN,202,NaN,NaN,NaN,NaN,5000,44366,0,534,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,44366,534,0
392,NaN,2,NaN,2011,20130408,20130413,3F10511 100414 R,3F10511 100414 H,Y,VO,131,NaN,NaN,NaN,NaN,5000,409315,0,1685,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,409315,1685,0
393,NaN,2,NaN,2001,20030501,20030509,3F10511 100414 R,3F10511 100414 H,Y,NaN,121,NaN,NaN,NaN,NaN,5000,301322,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,301322,0,0
394,NaN,1,3,2009,20100527,20100528,3F10511 100428 R,3F10511 100414 H,NaN,MX,81,NaN,NaN,NaN,NaN,5000,15923,0,244,NaN,NaN,VOIGHT CR TR 10.0428,VOIGHTS CR HATCHERY,PUYA,0,0,15923,244,0
395,NaN,2,NaN,2003,20050420,20050428,3F10511 100414 R,3F10511 100414 H,Y,NaN,128,NaN,NaN,NaN,NaN,5000,823991,0,495,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,823991,495,0
396,NaN,1,3,2007,20080613,20080613,3F10511 100414 R,3F10511 100414 H,NaN,NaN,74,NaN,NaN,NaN,NaN,5000,273818,0,1182,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,273818,1182,0
397,NaN,2,NaN,2010,20120406,20120416,3F10511 100414 R,3F10511 100414 H,Y,VO,123,NaN,NaN,NaN,NaN,5000,467939,0,5061,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,467939,5061,0
398,NaN,3,4,2001,20020429,20020429,3F10511 100414 R,3F10511 100414 H,S,NaN,183,NaN,NaN,NaN,NaN,5000,141800,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,141800,0,0
399,NaN,3,4,2000,20010312,20010312,3F10511 100027 R,3F10511 100027 H,S,NaN,NaN,NaN,NaN,NaN,NaN,0,10000,NaN,NaN,NaN,NaN,CLARKS CR 10.0027,PUYALLUP HATCHERY,PUYA,0,0,0,10000,0
400,NaN,2,NaN,2000,20020429,20020429,3F10511 100414 R,3F10511 100414 H,Y,NaN,125,NaN,NaN,NaN,NaN,5000,548643,0,2757,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,548643,2757,0
401,NaN,3,4,2007,20080501,20080506,3F10511 100414 R,3F10511 100414 H,S,NaN,195,NaN,NaN,NaN,NaN,5000,38645,0,155,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,38645,155,0
402,NaN,3,4,2003,20040401,20040430,3F10511 100414 R,3F10511 100414 H,S,NaN,200,NaN,NaN,NaN,NaN,5001,213606,0,3319,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,213606,3319,0
