"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","hatchery_day","hatchery_night","AICc","deltaAICc"
"5",NA,NA,NA,0.261893677246816,NA,NA,NA,NA,5225.01404350953,89.9752912773029
"16",NA,NA,NA,0.260757467898455,-0.00652871830130152,NA,NA,NA,5225.61252061593,90.5737683837078
"23",NA,0.0144041987428145,NA,0.264438678806282,NA,NA,NA,NA,5226.17005245095,91.1313002187217
"26",NA,NA,NA,0.262375886354675,NA,-0.00442010405519699,NA,NA,5226.46421013244,91.4254579002136
"48",NA,0.0142168240680429,NA,0.263351302817918,-0.00646541525420333,NA,NA,NA,5226.78921419477,91.7504619625406
"51",NA,NA,NA,0.261274554586183,-0.00664611080777672,-0.00457858621164251,NA,NA,5227.00699898764,91.9682467554112
"60",NA,0.0149775171918414,NA,0.265070158637755,NA,-0.00464090290592041,NA,NA,5227.54597347951,92.5072212472869
"90",NA,0.0149067963304184,NA,0.263885298461757,-0.00658058577310252,-0.00480691598034549,NA,NA,5228.1116102588,93.0728580265795
"122",0.0286069749221562,-0.0480742727970259,-0.0214323426504497,NA,-0.00875626708381831,0.0399662379043384,0.0550898916021372,0.0435953483110317,5405.47646121282,270.437708980593
"111",0.0290310546378589,-0.0488446850905491,-0.0216434910776717,NA,NA,0.0405364906543531,0.0563683989660926,0.0433346957358825,5405.8207314398,270.78197920758
"104",0.0272536140016562,NA,-0.0186181677657811,NA,-0.00884431997710186,0.0371844076122269,0.0514269488776197,0.042950870315431,5412.35402189968,277.315269667452
"79",0.0277275567596578,NA,-0.0187200737423651,NA,NA,0.0376808885808913,0.0527062988983798,0.0426368856151253,5412.95006226347,277.911310031243
"116",0.0352155983325509,-0.0429173625423825,NA,NA,-0.00887786926618842,0.0390005687996966,0.046295484838498,0.038625463819856,5413.55407432063,278.515322088402
"96",0.0356418425707024,-0.0434304365287228,NA,NA,NA,0.0395009394793341,0.0474058781445387,0.0383273577443681,5413.8686108055,278.829858573275
"89",0.0334075231750272,NA,NA,NA,-0.00890360517096746,0.0365832913834786,0.044324714744366,0.0384743476760703,5418.70589178189,283.667139549671
"59",0.0338316349064782,NA,NA,NA,NA,0.037063918149385,0.0456171339477243,0.038165103764738,5419.19159770509,284.152845472861
"107",NA,-0.0489737299339853,-0.0318119103340406,NA,-0.00908875911916339,0.0349059408773644,0.072103559341805,0.0585923187430415,5424.49122667873,289.452474446509
"82",NA,-0.049683422197351,-0.0320752275501857,NA,NA,0.0355040750427758,0.0734497160798088,0.0585881366340646,5424.80453826327,289.765786031041
"73",NA,NA,-0.0285969545010189,NA,-0.00917861857943466,0.0322628907957574,0.0680758347376898,0.0572736853767624,5431.57227756013,296.533525327906
"43",NA,NA,-0.0287676162299069,NA,NA,0.0328176382939894,0.0695167679464704,0.0572841114371185,5432.13728711809,297.098534885862
"101",0.0231917767100027,-0.043299929607179,-0.0187428244887093,NA,-0.0090718660007587,NA,0.0388385708717522,0.0228587020794458,5434.22776288755,299.189010655326
"76",0.0235237961974371,-0.0436496528469564,-0.0189586824813098,NA,NA,NA,0.040199048611872,0.022387329214003,5434.63991130866,299.601159076432
"100",0.0438700060447808,-0.0483090940363475,-0.0109757346253557,NA,-0.00853837446184731,0.0230549957820397,NA,NA,5435.48540027293,300.446648040706
"75",0.0442567969545512,-0.0487900633781236,-0.0111601979431259,NA,NA,0.0235279569732107,NA,NA,5435.53375809859,300.495005866363
"85",0.0462487719352756,-0.0452409973679988,NA,NA,-0.00867788273990431,0.0237851687753667,NA,NA,5436.09374495474,301.054992722517
"55",0.0466510794874497,-0.0456325249608253,NA,NA,NA,0.0242303964345455,NA,NA,5436.19192552779,301.153173295568
"67",0.0228036216630676,NA,-0.0161852665165975,NA,-0.00902716486906964,NA,0.0368426177678341,0.0226997928711993,5439.56495428069,304.52620204847
