"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery_day","hatchery_night","AICc","deltaAICc"
"70",NA,-0.00948776086726229,NA,-0.044533812265963,NA,-0.00520552760027277,0.00932059776866927,-0.0283154571560696,2782.84558796005,78.0214193848669
"90",NA,9.44653820654847e-05,-0.0159303552043825,NA,0.0914696200786258,0.00121520682884866,NA,NA,2784.46831065822,79.6441420830402
"7",NA,NA,NA,NA,NA,NA,0.00618768705935527,-0.0334181242321578,2792.12063700845,87.2964684332701
"25",NA,-0.0129193744929814,NA,NA,NA,NA,-0.00560472452443131,-0.0422512613709012,2792.83174364541,88.0075750702254
"27",NA,NA,-0.00786569879825302,NA,NA,NA,0.00638418224465994,-0.0330054450354166,2794.18704681101,89.3628782358246
"18",NA,NA,NA,NA,NA,-0.00226436927976219,0.00605210785455347,-0.0334522486553918,2794.21278979447,89.388621219287
"61",NA,-0.0132496268190374,-0.010557957284588,NA,NA,NA,-0.00557764527880249,-0.0419723470932353,2794.83568492254,90.0115163473592
"50",NA,-0.0132757156025344,NA,NA,NA,-0.00337977637331945,-0.00604373850937045,-0.0425920914678281,2794.85791050646,90.0337419312723
"5",NA,NA,-0.012513698195517,NA,NA,NA,NA,NA,2794.8907076605,90.0665390853137
"4",NA,-0.00181244279150109,NA,NA,NA,NA,NA,NA,2795.05857699081,90.234408415623
"2",NA,NA,NA,NA,NA,-0.00191820793178065,NA,NA,2795.06022506884,90.2360564936598
"52",NA,NA,-0.00781431716981555,NA,NA,-0.00228266888061076,0.00631955318102673,-0.0330882392745964,2796.28346357897,91.4592950037822
"91",NA,-0.0136478863421222,-0.0106683769882508,NA,NA,-0.00341345196518427,-0.00606282337012431,-0.0423452693905236,2796.86363436235,92.0394657871707
"23",NA,-0.00229481853298277,-0.0132654725833458,NA,NA,NA,NA,NA,2796.9726706348,92.148502059616
"16",NA,NA,-0.0125513019170529,NA,NA,-0.00193009021696496,NA,NA,2796.99606923572,92.1719006605326
"15",NA,-0.00193095041869387,NA,NA,NA,-0.00204468162768687,NA,NA,2797.1595484432,92.3353798680178
"48",NA,-0.00241777621166347,-0.0133195303483932,NA,NA,-0.00210276329809377,NA,NA,2799.0759362166,94.2517676414154
